Nov27_1212_comp
----------------------------------------------------------------------------------------------------
[Twitter]   init=ones (20)   seed=42   batch_size=64 spectral_dim=300
File1: twitter_10000bins_modiffT  File1: twitter_10000bins_modiffT
----------------------------------------------------------------------------------------------------
lr=0.002 schedule=True ema=0.999 epochs=200 reduce=False eps=1e-05
(ScoreNetworkX)+(ScoreNetworkA_eigen=GCN,4)   : depth=2 adim=32 nhid=32 layers=6 linears=2 c=(2 8 4)
(x:VP)=(0.10, 20.00) N=1000 (adj:VP)=(0.10, 20.00) N=1000
----------------------------------------------------------------------------------------------------
092 | 6.13s | test x: 2.491e+01 | test adj: 1.324e+02 | train x: 1.578e+01 | train adj: 1.393e+02 | 
093 | 6.21s | test x: 2.730e+01 | test adj: 1.324e+02 | train x: 1.617e+01 | train adj: 1.397e+02 | 
094 | 6.10s | test x: 2.828e+01 | test adj: 1.316e+02 | train x: 1.606e+01 | train adj: 1.394e+02 | 
095 | 6.22s | test x: 2.340e+01 | test adj: 1.312e+02 | train x: 1.530e+01 | train adj: 1.401e+02 | 
096 | 6.14s | test x: 2.460e+01 | test adj: 1.307e+02 | train x: 1.563e+01 | train adj: 1.389e+02 | 
097 | 6.23s | test x: 3.211e+01 | test adj: 1.325e+02 | train x: 1.507e+01 | train adj: 1.397e+02 | 
098 | 6.18s | test x: 1.447e+01 | test adj: 1.293e+02 | train x: 1.786e+01 | train adj: 1.395e+02 | 
099 | 6.06s | test x: 3.022e+01 | test adj: 1.304e+02 | train x: 1.509e+01 | train adj: 1.389e+02 | 
100 | 6.20s | test x: 3.083e+01 | test adj: 1.365e+02 | train x: 1.665e+01 | train adj: 1.395e+02 | 
101 | 6.15s | test x: 2.974e+01 | test adj: 1.319e+02 | train x: 1.354e+01 | train adj: 1.390e+02 | 
102 | 6.26s | test x: 2.225e+01 | test adj: 1.323e+02 | train x: 1.607e+01 | train adj: 1.391e+02 | 
103 | 6.25s | test x: 2.365e+01 | test adj: 1.315e+02 | train x: 1.506e+01 | train adj: 1.401e+02 | 
104 | 6.25s | test x: 2.201e+01 | test adj: 1.333e+02 | train x: 1.614e+01 | train adj: 1.398e+02 | 
105 | 6.25s | test x: 2.606e+01 | test adj: 1.308e+02 | train x: 1.469e+01 | train adj: 1.392e+02 | 
106 | 6.24s | test x: 4.227e+01 | test adj: 1.319e+02 | train x: 1.394e+01 | train adj: 1.396e+02 | 
107 | 6.46s | test x: 2.780e+01 | test adj: 1.324e+02 | train x: 1.432e+01 | train adj: 1.394e+02 | 
108 | 6.22s | test x: 1.765e+01 | test adj: 1.323e+02 | train x: 1.478e+01 | train adj: 1.391e+02 | 
109 | 6.20s | test x: 2.984e+01 | test adj: 1.321e+02 | train x: 1.686e+01 | train adj: 1.392e+02 | 
110 | 6.34s | test x: 3.082e+01 | test adj: 1.304e+02 | train x: 1.607e+01 | train adj: 1.399e+02 | 
111 | 6.22s | test x: 2.318e+01 | test adj: 1.319e+02 | train x: 1.629e+01 | train adj: 1.392e+02 | 
112 | 6.17s | test x: 1.494e+01 | test adj: 1.311e+02 | train x: 1.759e+01 | train adj: 1.398e+02 | 
113 | 6.22s | test x: 1.787e+01 | test adj: 1.325e+02 | train x: 1.367e+01 | train adj: 1.392e+02 | 
114 | 6.27s | test x: 1.565e+01 | test adj: 1.317e+02 | train x: 1.467e+01 | train adj: 1.393e+02 | 
